receipt_id,bill_id,date,hour,item_name,category,quantity,unit_price,payment_method,channel,cashier,customer_age_group,customer_distance_km,loyalty_member
R02181,B2354,13-04-2025,19,bread,Bakery,1,1,Cash,In-store,Carlos,26-35,1.2,No
R02611,B2613,11-05-2025,17,Bottled Water 1.5L,Beverages,3,0.8,Cash,In-store,Amir,36-50,2.6,No
R02271,B2409,21-04-2025,12,Rice 1kg,Pantry,2,2,Cash,In-store,Amir,65+,2.5,No
R02398,B2491,02-05-2025,14,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,26-35,0.7,No
R00230,B1145,11-01-2025,10,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,65+,0.5,No
R01772,B2097,19-03-2025,7,Milk 1L,Dairy,1,1.4,Cash,In-store,Amir,65+,0.9,Yes
R00805,B1495,04-02-2025,14,Bottled Water 1.5L,Beverages,1,0.8,Card,In-store,Bina,36-50,5.1,No
R01831,B2135,22-03-2025,12,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,18-25,1.4,No
R02342,B2457,27-04-2025,13,Instant Noodles,Pantry,1,0.6,Cash,In-store,Carlos,36-50,1.1,No
R02160,B2339,11-04-2025,18,White bread,Bakery,1,1,Cash,In-store,Bina,18-25,0.8,No
R01057,B1652,15-02-2025,19,Instant Noodles,Pantry,1,0.6,Cash,In-store,Bina,51-65,0.2,Yes
R01217,B1756,22-02-2025,14,Rice 1kg,Pantry,1,2,Cash,In-store,Bina,26-35,0.9,Yes
R00313,B1196,14-01-2025,22,Frozen Meals,Frozen,1,4,Online,Online,Bina,36-50,1.2,Yes
R01677,B2031,14-03-2025,14,Instant Noodles,Pantry,2,0.6,Cash,In-store,Bina,51-65,1,No
R01734,B2071,17-03-2025,11,Rice 1kg,Pantry,2,2,Cash,In-store,Bina,26-35,0.4,No
R00582,B1349,25-01-2025,14,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,26-35,1.4,No
R03034,B2862,30-05-2025,7,Frozen Meals,Frozen,3,4,Cash,In-store,Amir,65+,1.3,No
R00056,B1034,03-01-2025,18,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,26-35,1.2,No
R00268,B1169,12-01-2025,10,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,26-35,2,No
R00588,B1354,25-01-2025,22,Rice 1kg,Pantry,3,2,Cash,In-store,Bina,18-25,0.8,Yes
R01289,B1799,25-02-2025,20,Soap Bar,Household,1,0.7,Cash,In-store,Amir,26-35,2,No
R00059,B1036,03-01-2025,21,White bread,Bakery,1,1,Cash,In-store,Bina,36-50,0.4,No
R00393,B1243,17-01-2025,15,Milk 1L,Dairy,1,1.4,Cash,In-store,Amir,18-25,1.5,No
R01601,B1983,11-03-2025,15,White bread,Bakery,2,1,Cash,In-store,Carlos,65+,0.9,No
R01712,B2056,16-03-2025,12,coca cola,Beverages,2,1.2,Cash,In-store,Carlos,36-50,2.4,Yes
R01286,B1798,25-02-2025,19,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,65+,2.3,No
R00353,B1218,15-01-2025,13,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Carlos,51-65,1.2,No
R02315,B2437,25-04-2025,17,bread,Bakery,3,1,Cash,In-store,Carlos,18-25,1.8,No
R01484,B1913,06-03-2025,13,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Amir,36-50,2.1,No
R01910,B2181,26-03-2025,17,Milk 1L,Dairy,1,1.4,Cash,In-store,Carlos,51-65,2.1,No
R00334,B1207,15-01-2025,22,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,18-25,2.7,No
R01829,B2134,22-03-2025,17,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,26-35,2.2,Yes
R02772,B2705,18-05-2025,13,coke,Beverages,3,1.2,Cash,In-store,Amir,18-25,1.2,No
R02889,B2780,23-05-2025,17,Soap Bar,Household,2,0.7,Cash,In-store,Amir,51-65,1.6,No
R01810,B2122,21-03-2025,18,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,36-50,0.9,Yes
R00750,B1462,02-02-2025,19,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,26-35,2,No
R02901,B2787,24-05-2025,20,Eggs (6),Dairy,2,1.8,Cash,In-store,Bina,36-50,2.1,No
R01879,B2164,25-03-2025,15,Milk 1L,Dairy,1,1.4,Cash,In-store,Carlos,51-65,2.1,Yes
R02264,B2404,21-04-2025,16,Potato Chips,Snacks,2,1.1,Cash,In-store,Carlos,36-50,1.4,No
R00505,B1302,22-01-2025,10,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,65+,0.6,Yes
R00216,B1138,10-01-2025,21,Fresh Vegetables Pack,Fresh,2,3.5,Cash,In-store,Carlos,65+,0.5,No
R02621,B2618,11-05-2025,17,Tea Bags (25),Pantry,3,2.5,Card,In-store,Amir,51-65,2.1,No
R03004,B2849,29-05-2025,15,Potato Chips,Snacks,2,1.1,Card,In-store,Bina,26-35,5.4,No
R01299,B1804,26-02-2025,16,Milk 1L,Dairy,1,1.4,Cash,In-store,Amir,36-50,0.1,No
R02563,B2584,09-05-2025,11,Milk 1L,Dairy,2,1.4,Cash,In-store,Bina,36-50,1.7,Yes
R02757,B2697,17-05-2025,22,Soap Bar,Household,1,0.7,Cash,In-store,Bina,36-50,1.6,No
R00683,B1419,30-01-2025,15,Instant Noodles,Pantry,1,0.6,Card,In-store,Bina,26-35,3.2,No
R02250,B2397,19-04-2025,18,Milk 1L,Dairy,2,1.4,Cash,In-store,Bina,51-65,1.9,No
R01995,B2234,30-03-2025,11,Frozen Meals,Frozen,1,4,Cash,In-store,Carlos,18-25,0.2,Yes
R02363,B2471,29-04-2025,10,Soap Bar,Household,3,0.7,Card,In-store,Amir,18-25,4.5,No
R00703,B1431,31-01-2025,17,Rice 1kg,Pantry,3,2,Cash,In-store,Bina,65+,1.6,No
R00537,B1322,23-01-2025,10,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Carlos,36-50,0.8,No
R00489,B1292,21-01-2025,13,Instant Noodles,Pantry,4,0.6,Cash,In-store,Carlos,18-25,1.5,No
R00946,B1580,10-02-2025,11,Eggs (6),Dairy,1,1.8,Cash,In-store,Carlos,65+,0.3,No
R01503,B1922,06-03-2025,15,Eggs (6),Dairy,2,1.8,Cash,In-store,Bina,26-35,0.5,No
R02536,B2569,08-05-2025,16,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Bina,51-65,0.8,No
R02422,B2503,03-05-2025,19,Soap Bar,Household,1,0.7,Card,In-store,Bina,36-50,3.4,No
R03023,B2858,29-05-2025,17,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Carlos,51-65,0.6,No
R02984,B2837,28-05-2025,17,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,18-25,0.5,No
R00264,B1167,12-01-2025,12,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,51-65,0.8,No
R02333,B2451,27-04-2025,8,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,26-35,1.5,No
R02318,B2439,25-04-2025,9,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Amir,65+,1.7,No
R01880,B2164,25-03-2025,15,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,51-65,2.1,No
R02528,B2565,08-05-2025,19,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,51-65,0.6,No
R02172,B2345,13-04-2025,18,coke,Beverages,1,1.2,Cash,In-store,Amir,36-50,1.3,Yes
R02854,B2761,22-05-2025,9,Instant Noodles,Pantry,1,0.6,Cash,In-store,Bina,36-50,2.9,No
R02180,B2353,13-04-2025,8,Instant Noodles,Pantry,1,0.6,Cash,In-store,Amir,51-65,0.6,No
R00784,B1482,03-02-2025,15,Soap Bar,Household,1,0.7,Cash,In-store,Bina,26-35,1.6,Yes
R01036,B1635,13-02-2025,21,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Carlos,51-65,2.2,No
R00327,B1202,14-01-2025,17,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Carlos,65+,0.8,No
R02882,B2777,23-05-2025,17,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,36-50,0.9,Yes
R00547,B1328,23-01-2025,10,Bottled Water 1.5L,Beverages,2,0.8,Card,In-store,Bina,26-35,4.6,No
R02695,B2662,15-05-2025,10,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,51-65,0.1,Yes
R03002,B2849,29-05-2025,15,Cooking Oil 1L,Pantry,1,3.2,Card,In-store,Bina,26-35,5.4,No
R01523,B1935,07-03-2025,13,Soap Bar,Household,1,0.7,Cash,In-store,Carlos,65+,1.3,No
R00924,B1566,09-02-2025,17,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Amir,36-50,2.4,Yes
R02809,B2731,20-05-2025,22,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Bina,65+,2.4,Yes
R00366,B1226,16-01-2025,12,Frozen Meals,Frozen,3,4,Cash,In-store,Bina,36-50,0.7,No
R00103,B1066,05-01-2025,10,Soap Bar,Household,1,0.7,Cash,In-store,Carlos,65+,0.9,No
R01309,B1811,26-02-2025,11,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Carlos,18-25,1.7,No
R02648,B2634,13-05-2025,7,Frozen Meals,Frozen,3,4,Cash,In-store,Amir,65+,0.2,No
R00705,B1433,31-01-2025,18,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Carlos,36-50,1.6,No
R02346,B2461,27-04-2025,14,Rice 1kg,Pantry,3,2,Cash,In-store,Carlos,18-25,0.5,No
R01725,B2064,17-03-2025,10,Eggs (6),Dairy,2,1.8,Cash,In-store,Carlos,18-25,1.8,Yes
R00093,B1060,05-01-2025,7,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,65+,0.7,Yes
R01833,B2136,22-03-2025,14,Soap Bar,Household,2,0.7,Cash,In-store,Bina,36-50,3.3,No
R01671,B2026,14-03-2025,15,Potato Chips,Snacks,1,1.1,Cash,In-store,Bina,65+,2.1,No
R02081,B2290,03-04-2025,11,Fresh Vegetables Pack,Fresh,1,,Cash,In-store,Carlos,65+,1.7,No
R01469,B1903,05-03-2025,14,White Bread,Bakery,2,1,Cash,In-store,Amir,65+,1.5,No
R00100,B1064,05-01-2025,16,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Amir,26-35,2.4,Yes
R00323,B1199,14-01-2025,19,Potato Chips,Snacks,2,1.1,Cash,In-store,Carlos,65+,1.8,No
R00981,B1599,11-02-2025,15,Fresh Vegetables Pack,Fresh,2,3.5,Cash,In-store,Bina,36-50,1.8,No
R01865,B2153,24-03-2025,14,Soap Bar,Household,3,0.7,Cash,In-store,Carlos,65+,2.2,No
R02674,B2649,14-05-2025,11,White bread,Bakery,1,1,Cash,In-store,Amir,65+,0.8,Yes
R01878,B2163,25-03-2025,9,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Bina,26-35,1.4,No
R00259,B1163,12-01-2025,12,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,36-50,2.5,No
R02399,B2492,02-05-2025,16,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,36-50,1.5,No
R02188,B2357,15-04-2025,10,Frozen Meals,Frozen,2,4,Cash,In-store,Bina,65+,0.8,No
R02310,B2434,23-04-2025,20,Soap Bar,Household,1,0.7,Cash,In-store,Bina,65+,1.4,No
R00555,B1334,24-01-2025,18,Milk 1L,Dairy,2,1.4,Cash,In-store,Amir,65+,2.6,Yes
R02316,B2438,25-04-2025,14,Instant Noodles,Pantry,4,0.6,Cash,In-store,Carlos,65+,1.4,No
R01665,B2022,14-03-2025,18,bread,Bakery,1,1,Cash,In-store,Amir,65+,0.9,No
R02627,B2622,12-05-2025,17,Cooking Oil 1L,Pantry,1,3.2,Online,Online,Carlos,18-25,6,No
R01837,B2139,23-03-2025,10,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Carlos,18-25,1,No
R02138,B2326,09-04-2025,11,Cooking Oil 1L,Pantry,2,3.2,Cash,In-store,Carlos,36-50,0.7,Yes
R02481,B2537,05-05-2025,15,Tea Bags (25),Pantry,1,2.5,Card,In-store,Amir,36-50,3.9,Yes
R02547,B2574,08-05-2025,17,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Bina,36-50,0.4,No
R01553,B1950,09-03-2025,20,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Bina,36-50,1.6,Yes
R02417,B2501,03-05-2025,14,Milk 1L,Dairy,1,1.4,Card,In-store,Bina,36-50,4.3,No
R01180,B1734,20-02-2025,12,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Carlos,65+,2,Yes
R03039,B2866,30-05-2025,16,Tea Bags (25),Pantry,4,2.5,Cash,In-store,Bina,26-35,1,No
R00138,B1089,07-01-2025,15,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,65+,1.9,No
R01018,B1623,13-02-2025,7,Soap Bar,Household,4,0.7,Cash,In-store,Bina,51-65,1,Yes
R00507,B1303,22-01-2025,17,Milk 1L,Dairy,2,1.4,Cash,In-store,Amir,51-65,0.5,No
R00951,B1582,10-02-2025,17,Potato Chips,Snacks,1,1.1,Cash,In-store,Bina,65+,1.2,No
R02618,B2616,11-05-2025,21,coca cola,Beverages,1,1.2,Cash,In-store,Bina,36-50,1.3,No
R02145,B2330,09-04-2025,22,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,26-35,3.1,No
R01183,B1737,21-02-2025,15,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Bina,36-50,0.3,No
R00831,B1512,05-02-2025,9,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,51-65,2.3,No
R02572,B2589,09-05-2025,17,Chocolate Bar,Snacks,2,0.9,Cash,In-store,Carlos,51-65,0.7,No
R02935,B2809,26-05-2025,11,coca cola,Beverages,1,1.2,Cash,In-store,Carlos,36-50,1,Yes
R02267,B2407,21-04-2025,14,Soap Bar,Household,1,0.7,Cash,In-store,Bina,18-25,1.3,No
R00917,B1562,09-02-2025,21,White Bread,Bakery,1,1,Cash,In-store,Carlos,26-35,0.5,No
R02065,B2280,01-04-2025,16,Chocolate Bar,Snacks,2,0.9,Cash,In-store,Bina,26-35,1,No
R01988,B2231,29-03-2025,11,Instant Noodles,Pantry,1,0.6,Cash,In-store,Amir,36-50,0.6,Yes
R03067,B2893,13-03-2025,15,TEST,Other,1,0.01,Card,Online,Bina,26-35,1,No
R00495,B1295,21-01-2025,15,Coca-Cola,Beverages,2,1.2,Cash,In-store,Carlos,65+,2,No
R02719,B2675,16-05-2025,18,Soap Bar,Household,1,0.7,Cash,In-store,Bina,65+,1.5,No
R01922,B2187,26-03-2025,14,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,36-50,1.5,No
R02132,B2322,09-04-2025,12,Soap Bar,Household,1,0.7,Cash,In-store,Bina,36-50,0.7,No
R02506,B2551,07-05-2025,15,Chocolate Bar,Snacks,1,0.9,Card,In-store,Amir,36-50,7.8,No
R02724,B2678,16-05-2025,11,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,36-50,0.2,No
R01803,B2117,21-03-2025,11,Frozen Meals,Frozen,2,4,Cash,In-store,Bina,26-35,0.7,No
R00847,B1520,06-02-2025,18,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,51-65,0.6,Yes
R00087,B1057,05-01-2025,11,Chocolate Bar,Snacks,2,0.9,Cash,In-store,Bina,65+,0.6,No
R01726,B2065,17-03-2025,17,Rice 1kg,Pantry,1,2,Card,In-store,Amir,36-50,3,Yes
R02672,B2647,14-05-2025,17,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,36-50,1.6,No
R02795,B2720,19-05-2025,16,Coca-Cola,Beverages,1,1.2,Cash,In-store,Carlos,65+,2.6,No
R01990,B2232,29-03-2025,20,White Bread,Bakery,1,1,Cash,In-store,Carlos,51-65,1.5,No
R01271,B1787,24-02-2025,12,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,65+,2,Yes
R00868,B1533,07-02-2025,18,Potato Chips,Snacks,1,1.1,Cash,In-store,Carlos,36-50,0.5,No
R01230,B1765,23-02-2025,12,bread,Bakery,2,1,Online,Online,Carlos,26-35,4.5,No
R00008,B1004,01-01-2025,14,Potato Chips,Snacks,2,1.1,Online,Online,Amir,18-25,7.6,No
R02881,B2777,23-05-2025,17,Chocolate Bar,Snacks,3,0.9,Cash,In-store,Bina,36-50,0.9,No
R01455,B1893,04-03-2025,18,Instant Noodles,Pantry,1,,Cash,In-store,Carlos,65+,0.5,No
R00139,B1090,07-01-2025,17,Frozen Meals,Frozen,4,4,Cash,In-store,Amir,26-35,2.3,No
R02474,B2533,05-05-2025,21,Instant Noodles,Pantry,2,0.6,Cash,In-store,Carlos,65+,1.9,No
R01198,B1745,21-02-2025,15,Chocolate Bar,Snacks,4,0.9,Card,In-store,Bina,26-35,6.9,No
R01002,B1612,12-02-2025,10,Frozen Meals,Frozen,1,4,Cash,In-store,Carlos,36-50,2.1,No
R02978,B2835,28-05-2025,17,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,51-65,1.3,No
R02070,B2283,03-04-2025,15,Eggs (6),Dairy,1,1.8,Cash,In-store,Amir,65+,1.2,No
R02130,B2321,09-04-2025,17,Soap Bar,Household,1,0.7,Cash,In-store,Amir,26-35,2.5,No
R02141,B2327,09-04-2025,16,Potato Chips,Snacks,2,1.1,Cash,In-store,Amir,51-65,1,No
R01579,B1965,10-03-2025,16,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Bina,26-35,1.4,No
R02922,B2801,25-05-2025,15,Soap Bar,Household,1,0.7,Cash,In-store,Bina,36-50,0.2,No
R02925,B2803,25-05-2025,8,Frozen Meals,Frozen,1,4,Cash,In-store,Bina,36-50,0.3,No
R00726,B1446,31-01-2025,20,coca cola,Beverages,1,1.2,Cash,In-store,Carlos,65+,1.8,Yes
R01836,B2139,23-03-2025,10,Milk 1L,Dairy,2,1.4,Cash,In-store,Carlos,18-25,1,No
R00860,B1528,06-02-2025,11,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,51-65,0.7,No
R01850,B2146,23-03-2025,22,bread,Bakery,1,1,Cash,In-store,Amir,51-65,1.9,No
R00464,B1278,20-01-2025,13,Milk 1L,Dairy,2,1.4,Card,In-store,Bina,18-25,4.1,Yes
R00463,B1278,20-01-2025,13,Potato Chips,Snacks,1,1.1,Card,In-store,Bina,18-25,4.1,No
R02449,B2516,04-05-2025,20,Rice 1kg,Pantry,2,2,Online,Online,Carlos,36-50,3.7,No
R02212,B2371,17-04-2025,15,Instant Noodles,Pantry,1,0.6,Cash,In-store,Carlos,51-65,1,No
R01805,B2118,21-03-2025,19,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,65+,0.5,No
R02677,B2650,14-05-2025,7,Milk 1L,Dairy,1,1.4,Cash,In-store,Carlos,18-25,0.8,No
R00754,B1465,02-02-2025,16,Frozen Meals,Frozen,2,4,Card,In-store,Bina,51-65,0.9,Yes
R01927,B2191,26-03-2025,17,Milk 1L,Dairy,1,1.4,Cash,In-store,Bina,18-25,1,No
R00943,B1579,10-02-2025,22,Rice 1kg,Pantry,4,2,Cash,In-store,Amir,65+,0.8,No
R01400,B1864,02-03-2025,16,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Carlos,51-65,0.6,No
R01813,B2125,21-03-2025,9,Rice 1kg,Pantry,1,2,Cash,In-store,Amir,65+,1.7,No
R01530,B1940,08-03-2025,9,White bread,Bakery,2,1,Online,Online,Bina,51-65,6.9,No
R02262,B2403,19-04-2025,12,Milk 1L,Dairy,1,1.4,Cash,In-store,Carlos,65+,1.8,Yes
R01919,B2186,26-03-2025,13,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,26-35,1.3,No
R02013,B2248,30-03-2025,12,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Amir,36-50,0.7,No
R00707,B1434,31-01-2025,15,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Amir,65+,0.5,No
R02575,B2591,10-05-2025,14,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,51-65,0.3,Yes
R00921,B1564,09-02-2025,20,Soap Bar,Household,1,0.7,Card,In-store,Amir,26-35,3.1,No
R01244,B1771,23-02-2025,15,Tea Bags (25),Pantry,4,2.5,Cash,In-store,Carlos,36-50,0.7,No
R01955,B2213,28-03-2025,20,Potato Chips,Snacks,2,1.1,Cash,In-store,Amir,26-35,1.1,No
R00429,B1263,19-01-2025,14,Soap Bar,Household,3,0.7,Cash,In-store,Amir,18-25,0.8,Yes
R00616,B1374,27-01-2025,17,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Amir,26-35,1.2,No
R00571,B1343,25-01-2025,13,Chocolate Bar,Snacks,2,0.9,Online,Online,Bina,51-65,1.7,No
R01595,B1977,11-03-2025,21,Frozen Meals,Frozen,2,4,Cash,In-store,Carlos,26-35,1.2,No
R02526,B2563,08-05-2025,14,Soap Bar,Household,1,0.7,Cash,In-store,Carlos,18-25,1.6,No
R01457,B1894,04-03-2025,8,Soap Bar,Household,2,0.7,Card,In-store,Amir,65+,1.8,No
R02126,B2318,09-04-2025,18,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Amir,18-25,1.8,No
R00051,B1031,03-01-2025,19,White Bread,Bakery,2,1,Cash,In-store,Carlos,18-25,0.8,No
R00127,B1082,06-01-2025,14,White Bread,Bakery,3,1,Cash,In-store,Amir,18-25,2,No
R01650,B2012,13-03-2025,18,Soap Bar,Household,1,0.7,Card,In-store,Amir,18-25,5.1,Yes
R00799,B1493,04-02-2025,18,coca cola,Beverages,1,1.2,Cash,In-store,Carlos,51-65,2.5,Yes
R02930,B2806,25-05-2025,18,Bottled Water 1.5L,Beverages,2,0.8,Cash,In-store,Bina,51-65,2.8,No
R00767,B1472,02-02-2025,19,Bottled Water 1.5L,Beverages,1,0.8,Card,In-store,Carlos,18-25,2.3,Yes
R00177,B1109,09-01-2025,18,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Bina,18-25,1.3,Yes
R00213,B1136,10-01-2025,10,Tea Bags (25),Pantry,4,2.5,Cash,In-store,Bina,26-35,0.8,Yes
R02165,B2341,11-04-2025,14,Milk 1L,Dairy,3,1.4,Cash,In-store,Bina,18-25,1.5,Yes
R01940,B2202,28-03-2025,11,White bread,Bakery,3,1,Cash,In-store,Carlos,36-50,0.1,No
R00442,B1269,19-01-2025,13,Frozen Meals,Frozen,3,4,Card,In-store,Amir,36-50,2.4,Yes
R00358,B1222,16-01-2025,7,Instant Noodles,Pantry,3,0.6,Cash,In-store,Carlos,65+,0.5,No
R02903,B2788,24-05-2025,17,Instant Noodles,Pantry,1,0.6,Cash,In-store,Bina,65+,1.7,No
R01361,B1842,28-02-2025,8,Rice 1kg,Pantry,3,2,Cash,In-store,Carlos,26-35,1.7,No
R01103,B1683,17-02-2025,18,coke,Beverages,2,1.2,Cash,In-store,Amir,18-25,1.3,No
R00590,B1356,25-01-2025,16,Tea Bags (25),Pantry,40,2.5,Cash,In-store,Carlos,26-35,2.2,Yes
R02898,B2785,24-05-2025,7,Potato Chips,Snacks,1,1.1,Card,In-store,Amir,36-50,3.5,Yes
R00280,B1175,12-01-2025,15,Potato Chips,Snacks,2,1.1,Cash,In-store,Carlos,36-50,2.3,No
R01721,B2062,16-03-2025,16,bread,Bakery,1,1,Cash,In-store,Carlos,65+,0.9,No
R01705,B2050,15-03-2025,19,Rice 1kg,Pantry,1,2,Cash,In-store,Carlos,51-65,1.6,No
R02573,B2590,09-05-2025,15,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Carlos,26-35,2.1,No
R01871,B2157,24-03-2025,20,Coca-Cola,Beverages,4,1.2,Cash,In-store,Carlos,18-25,1.6,No
R00714,B1438,31-01-2025,20,Coca Cola 500ml,Beverages,1,1.2,Cash,In-store,Carlos,51-65,0.9,No
R00974,B1595,11-02-2025,16,Soap Bar,Household,3,0.7,Cash,In-store,Carlos,26-35,3.3,Yes
R02062,B2278,01-04-2025,15,Eggs (6),Dairy,3,1.8,Cash,In-store,Bina,36-50,1.8,No
R01756,B2087,18-03-2025,17,White Bread,Bakery,1,1,Cash,In-store,Bina,26-35,0.1,Yes
R01165,B1725,20-02-2025,20,Milk 1L,Dairy,3,1.4,Cash,In-store,Carlos,51-65,0.2,Yes
R01270,B1786,24-02-2025,15,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,65+,0.7,No
R02888,B2779,23-05-2025,18,Frozen Meals,Frozen,1,4,Cash,In-store,Amir,26-35,2.3,Yes
R02558,B2580,09-05-2025,20,Potato Chips,Snacks,3,1.1,Cash,In-store,Amir,36-50,2.5,No
R01381,B1855,01-03-2025,19,Instant Noodles,Pantry,1,0.6,Cash,In-store,Carlos,65+,2.3,No
R02176,B2349,13-04-2025,9,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,18-25,2.5,Yes
R00488,B1291,21-01-2025,18,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Amir,65+,2.1,No
R01014,B1621,13-02-2025,13,Eggs (6),Dairy,3,1.8,Cash,In-store,Amir,65+,0.7,No
R03000,B2848,29-05-2025,21,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Bina,65+,0.8,No
R02202,B2364,15-04-2025,14,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,18-25,3.1,No
R02158,B2339,11-04-2025,18,Instant Noodles,Pantry,1,0.6,Cash,In-store,Bina,18-25,0.8,No
R01125,B1696,17-02-2025,15,Fresh Vegetables Pack,Fresh,1,3.5,Cash,In-store,Carlos,18-25,0.4,No
R02108,B2310,07-04-2025,12,Eggs (6),Dairy,1,1.8,Cash,In-store,Carlos,36-50,1.4,No
R01004,B1613,12-02-2025,18,Eggs (6),Dairy,1,1.8,Cash,In-store,Bina,51-65,2.2,No
R00453,B1273,20-01-2025,9,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Bina,26-35,2.3,No
R02159,B2339,11-04-2025,18,White bread,Bakery,3,1,Cash,In-store,Bina,18-25,0.8,No
R01220,B1759,22-02-2025,7,Potato Chips,Snacks,1,1.1,Cash,In-store,Amir,18-25,1.4,No
R00720,B1443,31-01-2025,11,Cooking Oil 1L,Pantry,3,3.2,Cash,In-store,Amir,65+,1.1,No
R01783,B2104,20-03-2025,16,Chocolate Bar,Snacks,1,0.9,Cash,In-store,Carlos,26-35,1.4,Yes
R02004,B2241,30-03-2025,7,Soap Bar,Household,1,0.7,Cash,In-store,Bina,51-65,2.4,Yes
R02441,B2512,04-05-2025,10,Cooking Oil 1L,Pantry,2,3.2,Card,In-store,Bina,18-25,4.7,Yes
R02835,B2747,21-05-2025,11,Cooking Oil 1L,Pantry,1,3.2,Cash,In-store,Bina,65+,0.8,No
R00185,B1116,09-01-2025,11,coke,Beverages,1,1.2,Cash,In-store,Carlos,36-50,2.6,Yes
R02339,B2454,27-04-2025,14,Tea Bags (25),Pantry,1,2.5,Cash,In-store,Carlos,26-35,1.3,No
R02222,B2376,17-04-2025,14,Fresh Vegetables Pack,Fresh,1,3.5,Online,Online,Amir,36-50,4.6,No
R00187,B1117,09-01-2025,12,Potato Chips,Snacks,40,1.1,Cash,In-store,Amir,65+,1.2,Yes
R01945,B2206,28-03-2025,15,Bottled Water 1.5L,Beverages,1,0.8,Cash,In-store,Bina,65+,0.9,No
R02376,B2475,29-04-2025,9,Eggs (6),Dairy,2,1.8,Online,Online,Amir,18-25,7.1,Yes
